,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,NBA,MEM,56,26,1,,24.0,6-6,219,,82,19780,3571,7739,.461,945,2679,.353,2626,5060,.519,1393,1898,.734,1159,2873,4032,2131,800,533,1082,1620,9480
1,2020-21,NBA,MEM,38,34,2,,24.2,6-6,217,,72,17405,3085,6608,.467,803,2258,.356,2282,4350,.525,1184,1536,.771,803,2543,3346,1938,655,364,957,1349,8157
2,2019-20,NBA,MEM,34,39,3,,24.1,6-6,220,,73,17570,3106,6634,.468,798,2297,.347,2308,4337,.532,1212,1589,.763,754,2643,3397,1965,576,398,1113,1546,8222
3,2018-19,NBA,MEM,33,49,3,,27.7,6-7,213,,82,19880,3113,6924,.450,811,2368,.342,2302,4556,.505,1453,1882,.772,723,2703,3426,1963,684,448,1147,1801,8490
4,2017-18,NBA,MEM,22,60,5,,26.0,6-7,220,,82,19705,3013,6788,.444,758,2152,.352,2255,4636,.486,1361,1732,.786,779,2544,3323,1767,613,396,1227,1900,8145
5,2016-17,NBA,MEM,43,39,3,,29.5,6-7,221,,82,19905,2984,6854,.435,767,2169,.354,2217,4685,.473,1504,1918,.784,886,2621,3507,1744,653,344,1059,1840,8239
6,2015-16,NBA,MEM,42,40,3,,30.5,6-6,221,,82,19830,3019,6859,.440,504,1521,.331,2515,5338,.471,1584,2024,.783,916,2497,3413,1697,724,350,1090,1783,8126
7,2014-15,NBA,MEM,55,27,2,,29.6,6-7,225,,82,19905,3097,6763,.458,423,1246,.339,2674,5517,.485,1445,1869,.773,856,2634,3490,1777,700,347,1094,1567,8062
8,2013-14,NBA,MEM,50,32,3,,28.5,6-7,225,,82,19805,3122,6723,.464,405,1147,.353,2717,5576,.487,1235,1666,.741,950,2526,3476,1792,631,375,1124,1568,7884
9,2012-13,NBA,MEM,56,26,2,,27.0,6-6,223,,82,19805,2964,6679,.444,382,1107,.345,2582,5572,.463,1349,1746,.773,1059,2445,3504,1715,703,436,1144,1660,7659
10,2011-12,NBA,MEM,41,25,2,,25.6,6-6,225,,66,15940,2425,5422,.447,277,849,.326,2148,4573,.470,1142,1504,.759,831,1944,2775,1290,631,345,955,1316,6269
11,2010-11,NBA,MEM,46,36,4,,25.2,6-6,224,,82,19880,3200,6801,.471,309,926,.334,2891,5875,.492,1486,1981,.750,970,2391,3361,1691,771,441,1145,1705,8195
12,2009-10,NBA,MEM,40,42,4,,24.1,6-7,226,,82,19905,3223,6875,.469,344,1020,.337,2879,5855,.492,1614,2202,.733,1070,2496,3566,1543,645,399,1248,1655,8404
13,2008-09,NBA,MEM,24,58,5,,23.3,6-6,217,,82,19805,2865,6311,.454,398,1106,.360,2467,5205,.474,1570,2077,.756,847,2337,3184,1423,615,385,1252,1777,7698
14,2007-08,NBA,MEM,22,60,5,,24.5,6-6,211,,82,19805,3060,6737,.454,620,1779,.349,2440,4958,.492,1517,2097,.723,848,2567,3415,1574,503,386,1251,1592,8257
15,2006-07,NBA,MEM,22,60,5,,26.2,6-6,210,,82,19980,2998,6448,.465,500,1362,.367,2498,5086,.491,1835,2410,.761,866,2375,3241,1680,564,407,1343,1827,8331
16,2005-06,NBA,MEM,49,33,3,,28.1,6-7,211,,82,19855,2746,6125,.448,590,1578,.374,2156,4547,.474,1476,2077,.711,834,2379,3213,1586,600,442,1134,1757,7558
17,2004-05,NBA,MEM,45,37,4,,26.3,6-7,217,,82,19705,2802,6271,.447,531,1486,.357,2271,4785,.475,1526,2024,.754,887,2307,3194,1716,699,476,1197,1910,7661
18,2003-04,NBA,MEM,50,32,4,,26.0,6-7,215,,82,19880,2963,6657,.445,447,1314,.340,2516,5343,.471,1557,2143,.727,1047,2381,3428,1915,795,565,1226,1903,7930
19,2002-03,NBA,MEM,28,54,6,,24.9,6-7,212,,82,19930,3049,6743,.452,467,1279,.365,2582,5464,.473,1430,1936,.739,943,2466,3409,1892,651,500,1262,1678,7995
20,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,2001-02,NBA,MEM,23,59,7,,25.5,6-6,211,,82,19780,2851,6535,.436,336,1096,.307,2515,5439,.462,1334,1883,.708,984,2413,3397,1785,646,488,1344,1571,7372
22,2000-01,NBA,VAN,23,59,7,,26.2,6-6,215,,82,19780,2870,6539,.439,325,947,.343,2545,5592,.455,1457,1892,.770,894,2431,3325,1899,586,359,1291,1733,7522
23,1999-00,NBA,VAN,22,60,7,,25.3,6-6,217,,82,19855,2892,6441,.449,324,898,.361,2568,5543,.463,1594,2060,.774,1005,2324,3329,1700,608,346,1381,1881,7702
24,1998-99,NBA,VAN,8,42,7,,25.0,6-6,216,,50,12175,1643,3838,.428,148,453,.327,1495,3385,.442,1009,1408,.717,650,1359,2009,964,420,199,848,1123,4443
25,1997-98,NBA,VAN,19,63,6,,26.5,6-7,219,,82,19830,3006,6567,.458,325,898,.362,2681,5669,.473,1586,2145,.739,1081,2313,3394,1960,614,349,1405,1809,7923
26,1996-97,NBA,VAN,14,68,7,,25.0,6-6,216,,82,19780,2819,6453,.437,445,1274,.349,2374,5179,.458,1230,1734,.709,1023,2155,3178,1862,657,464,1301,1755,7313
27,1995-96,NBA,VAN,15,67,7,,27.2,6-6,215,,82,19880,2772,6483,.428,372,1129,.329,2400,5354,.448,1446,1998,.724,957,2170,3127,1706,728,333,1347,1852,7362
