,Season,Lg,Tm,W,L,Finish,Unnamed: 6,Age,Ht.,Wt.,Unnamed: 10,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,2001-02,NBA,MIN,50,32,3,,26.7,6-7,224,,82,19805,3175,6887,.461,396,1047,.378,2779,5840,.476,1399,1754,.798,1059,2562,3621,1993,524,427,1097,1739,8145
22,2000-01,NBA,MIN,47,35,4,,27.4,6-6,217,,82,19830,3148,6871,.458,322,901,.357,2826,5970,.473,1364,1737,.785,1002,2470,3472,2083,682,456,1136,1900,7982
23,1999-00,NBA,MIN,50,32,3,,26.6,6-6,213,,82,19905,3226,6910,.467,248,716,.346,2978,6194,.481,1379,1769,.780,1016,2471,3487,2205,622,444,1139,1913,8079
24,1998-99,NBA,MIN,25,25,4,,27.2,6-6,209,,50,12025,1838,4327,.425,122,410,.298,1716,3917,.438,849,1143,.743,754,1392,2146,1218,426,272,641,1185,4647
25,1997-98,NBA,MIN,45,37,3,,26.4,6-7,214,,82,19930,3157,6844,.461,303,873,.347,2854,5971,.478,1673,2253,.743,1063,2429,3492,2068,639,427,1138,1882,8290
26,1996-97,NBA,MIN,40,42,3,,26.3,6-7,212,,82,19780,2937,6436,.456,371,1093,.339,2566,5343,.480,1637,2180,.751,957,2302,3259,1874,618,557,1243,1818,7882
27,1995-96,NBA,MIN,26,56,5,,26.4,6-6,214,,82,19780,2974,6481,.459,279,857,.326,2695,5624,.479,1797,2314,.777,985,2271,3256,1867,650,481,1426,1994,8024
28,1994-95,NBA,MIN,21,61,6,,25.4,6-7,215,,82,19780,2792,6219,.449,318,1016,.313,2474,5203,.475,1824,2355,.775,883,2090,2973,1780,609,402,1400,2074,7726
29,1993-94,NBA,MIN,20,62,5,,26.2,6-7,218,,82,19730,2985,6535,.457,183,557,.329,2802,5978,.469,1777,2303,.772,990,2343,3333,1967,600,440,1478,2016,7930
30,1992-93,NBA,MIN,19,63,5,,25.8,6-7,217,,82,19855,3043,6529,.466,166,569,.292,2877,5960,.483,1794,2247,.798,940,2204,3144,2001,649,455,1422,2028,8046
31,1991-92,NBA,MIN,15,67,6,,26.4,6-6,213,,82,19805,3366,7342,.458,126,394,.320,3240,6948,.466,1379,1857,.743,1167,2168,3335,2025,619,526,1157,1866,8237
32,1990-91,NBA,MIN,29,53,5,,26.2,6-6,212,,82,19905,3265,7276,.449,108,381,.283,3157,6895,.458,1531,2082,.735,1275,2113,3388,1885,712,440,1062,1864,8169
33,1989-90,NBA,MIN,22,60,6,,26.2,6-6,209,,82,19855,3067,6876,.446,73,294,.248,2994,6582,.455,1596,2137,.747,1196,2053,3249,1844,789,344,1197,1901,7803
